problem_id,experiment_id,subtract_lim,rotate_lim,scale_factor,is_subtract,is_rotate,is_scale,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,limo.avg_length_norm,limo.length_mean,limo.ratio_mean,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,pca.expl_var.cov_x,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cor_init,pca.expl_var_PC1.cov_x,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cor_init
1.0,0.0,35.0,0.0,1.0,1.0,0.0,0.0,"[0.13666666666666666, 0.1159345306623808]","[0.19333333333333333, 0.006749038648198091]","[0.17666666666666667, 0.01726514173164506]","[0.27, 2.9091440650330647e-05]","[0.13666666666666666, 0.1159345306623808]","[0.18666666666666668, 0.009929104992339677]","[0.19666666666666666, 0.005535451408119951]","[0.25666666666666665, 8.583302421827366e-05]","[0.13666666666666666, 0.1159345306623808]","[0.19333333333333333, 0.006749038648198091]","[0.17666666666666667, 0.01726514173164506]","[0.27, 2.9091440650330647e-05]","[0.13666666666666666, 0.1159345306623808]","[0.18666666666666668, 0.009929104992339677]","[0.19666666666666666, 0.005535451408119951]","[0.25666666666666665, 8.583302421827366e-05]","[0.16, 0.0405280249521357]","[0.15333333333333332, 0.05566516107030173]","[0.03333333333333333, 0.999993600020279]","[0.23666666666666666, 0.00039078265038061666]","[1.0, 0.0]","[1.0, 0.0]","[0.9233333333333333, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9833333333333333, 0.0]","[1.0, 0.0]","[0.99, 0.0]","[0.75, 0.0]","[0.8466666666666667, 0.0]","[0.20666666666666667, 0.002991167664223471]","[0.43666666666666665, 2.4702462297909733e-13]","[0.06333333333333334, 0.915895383365142]","[1.0, 0.0]","[0.8633333333333333, 0.0]","[0.06666666666666667, 0.8826730891596729]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.44, 1.5210055437364645e-13]","[0.6566666666666666, 0.0]","[0.5, 0.0]","[0.5833333333333334, 0.0]","[0.2866666666666667, 6.936351787167894e-06]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.043333333333333335, 0.9985460467313687]","[0.64, 0.0]"
3.0,0.0,85.0,0.0,1.0,1.0,0.0,0.0,"[0.9366666666666666, 0.0]","[0.9766666666666667, 0.0]","[0.9966666666666667, 0.0]","[0.9933333333333333, 0.0]","[0.93, 0.0]","[0.9733333333333334, 0.0]","[0.9933333333333333, 0.0]","[0.99, 0.0]","[0.9366666666666666, 0.0]","[0.9766666666666667, 0.0]","[0.9966666666666667, 0.0]","[0.9933333333333333, 0.0]","[0.93, 0.0]","[0.9733333333333334, 0.0]","[0.9933333333333333, 0.0]","[0.99, 0.0]","[0.41, 9.299339076562774e-12]","[0.26666666666666666, 3.833355779780945e-05]","[0.11666666666666667, 0.24965044661564206]","[0.48333333333333334, 0.0]","[0.8266666666666667, 0.0]","[0.7533333333333333, 0.0]","[1.0, 0.0]","[0.9966666666666667, 0.0]","[0.8766666666666667, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.6866666666666666, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.6366666666666667, 0.0]","[0.6233333333333333, 0.0]","[0.28, 1.2442603819384779e-05]","[1.0, 0.0]","[1.0, 0.0]","[0.44333333333333336, 9.50350909079134e-14]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.9733333333333334, 0.0]","[0.9866666666666667, 0.0]","[0.8866666666666667, 0.0]","[0.95, 0.0]","[0.81, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.5533333333333333, 0.0]","[0.9866666666666667, 0.0]"
3.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,"[0.9833333333333333, 0.0]","[0.98, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.98, 0.0]","[0.9833333333333333, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9833333333333333, 0.0]","[0.98, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.98, 0.0]","[0.9833333333333333, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.4533333333333333, 2.2648549702353193e-14]","[0.3, 2.063180933209452e-06]","[0.08, 0.7089555196244848]","[0.5466666666666666, 0.0]","[0.84, 0.0]","[0.7733333333333333, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.92, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.75, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.6766666666666666, 0.0]","[0.6866666666666666, 0.0]","[0.2866666666666667, 6.936351787167894e-06]","[1.0, 0.0]","[1.0, 0.0]","[0.58, 0.0]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.99, 0.0]","[0.9833333333333333, 0.0]","[0.9566666666666667, 0.0]","[0.9533333333333334, 0.0]","[0.8633333333333333, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.8, 0.0]","[0.9966666666666667, 0.0]"
4.0,0.0,75.0,0.0,1.0,1.0,0.0,0.0,"[0.96, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.95, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.96, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.95, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.8933333333333333, 0.0]","[0.4866666666666667, 0.0]","[0.17, 0.02453986495701055]","[0.3333333333333333, 7.684185954204281e-08]","[0.74, 0.0]","[0.8433333333333334, 0.0]","[0.95, 0.0]","[1.0, 0.0]","[0.94, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.8166666666666667, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.22666666666666666, 0.0007948758802966971]","[0.17, 0.02453986495701055]","[0.18666666666666668, 0.009929104992339677]","[1.0, 0.0]","[1.0, 0.0]","[0.94, 0.0]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9533333333333334, 0.0]","[0.97, 0.0]","[0.5133333333333333, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.1, 0.42832150746897635]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.9733333333333334, 0.0]","[1.0, 0.0]"
4.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,"[0.34, 3.804253911887656e-08]","[0.43333333333333335, 3.922417946000678e-13]","[0.4166666666666667, 3.8443692673695296e-12]","[0.5133333333333333, 0.0]","[0.2733333333333333, 2.1998083572616345e-05]","[0.3933333333333333, 7.887035469167358e-11]","[0.4033333333333333, 2.2134072352741896e-11]","[0.49666666666666665, 0.0]","[0.34, 3.804253911887656e-08]","[0.43333333333333335, 3.922417946000678e-13]","[0.4166666666666667, 3.8443692673695296e-12]","[0.5133333333333333, 0.0]","[0.2733333333333333, 2.1998083572616345e-05]","[0.3933333333333333, 7.887035469167358e-11]","[0.4033333333333333, 2.2134072352741896e-11]","[0.49666666666666665, 0.0]","[0.34, 3.804253911887656e-08]","[0.22333333333333333, 0.001000064089753283]","[0.12333333333333334, 0.19603950498437195]","[0.13333333333333333, 0.13288867571427654]","[0.15333333333333332, 0.05566516107030173]","[0.17333333333333334, 0.020618971772869976]","[0.24333333333333335, 0.00023915709052280132]","[0.48, 0.0]","[0.30666666666666664, 1.1006886733166965e-06]","[0.4066666666666667, 1.4377721235803165e-11]","[0.5266666666666666, 0.0]","[0.2866666666666667, 6.936351787167894e-06]","[0.7633333333333333, 0.0]","[1.0, 0.0]","[0.07, 0.8443844212142547]","[0.08666666666666667, 0.6116890946313494]","[0.08, 0.7089555196244848]","[0.7166666666666667, 0.0]","[1.0, 0.0]","[0.3233333333333333, 2.1443849262947623e-07]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.5533333333333333, 0.0]","[0.5233333333333333, 0.0]","[0.34, 3.804253911887656e-08]","[0.36, 4.212699078465221e-09]","[0.17666666666666667, 0.01726514173164506]","[0.0, 1.0]","[0.0, 1.0]","[0.09666666666666666, 0.4714682194427987]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.15666666666666668, 0.04757855611755568]","[0.30666666666666664, 1.1006886733166965e-06]"
2.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,"[0.2, 0.004524369481125445]","[0.27666666666666667, 1.6574279453562824e-05]","[0.25, 0.00014429926917935987]","[0.25333333333333335, 0.0001114896610561189]","[0.19333333333333333, 0.006749038648198091]","[0.26, 6.584465525671934e-05]","[0.24333333333333335, 0.00023915709052280132]","[0.24, 0.00030625185079313777]","[0.2, 0.004524369481125445]","[0.27666666666666667, 1.6574279453562824e-05]","[0.25, 0.00014429926917935987]","[0.25333333333333335, 0.0001114896610561189]","[0.19, 0.008200246037889491]","[0.2633333333333333, 5.0330335083281774e-05]","[0.24666666666666667, 0.0001860998546711068]","[0.24, 0.00030625185079313777]","[0.24, 0.00030625185079313777]","[0.18333333333333332, 0.011981017044926046]","[0.03, 0.999999724114693]","[0.36666666666666664, 1.9616464008720413e-09]","[0.4866666666666667, 0.0]","[0.25333333333333335, 0.0001114896610561189]","[0.47, 2.220446049250313e-15]","[0.7366666666666667, 0.0]","[0.48, 0.0]","[0.68, 0.0]","[0.8733333333333333, 0.0]","[0.5166666666666667, 0.0]","[0.93, 0.0]","[0.98, 0.0]","[0.3, 2.063180933209452e-06]","[0.27, 2.9091440650330647e-05]","[0.10333333333333333, 0.3874916970869029]","[1.0, 0.0]","[0.9766666666666667, 0.0]","[0.08666666666666667, 0.6116890946313494]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.6266666666666667, 0.0]","[0.7233333333333334, 0.0]","[0.6533333333333333, 0.0]","[0.59, 0.0]","[0.30333333333333334, 1.5097396783847472e-06]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.31, 7.99504093706993e-07]","[0.01, 1.0]","[0.01, 1.0]","[0.6833333333333333, 0.0]","[0.38, 4.0592085248647436e-10]"
5.0,0.0,65.0,0.0,1.0,1.0,0.0,0.0,"[0.86, 0.0]","[0.9433333333333334, 0.0]","[0.9866666666666667, 0.0]","[1.0, 0.0]","[0.8566666666666667, 0.0]","[0.9333333333333333, 0.0]","[0.98, 0.0]","[0.9966666666666667, 0.0]","[0.8566666666666667, 0.0]","[0.9433333333333334, 0.0]","[0.9866666666666667, 0.0]","[1.0, 0.0]","[0.8566666666666667, 0.0]","[0.9333333333333333, 0.0]","[0.98, 0.0]","[0.9966666666666667, 0.0]","[0.61, 0.0]","[0.4033333333333333, 2.2134072352741896e-11]","[0.13333333333333333, 0.13288867571427654]","[0.5766666666666667, 0.0]","[0.49, 0.0]","[0.6133333333333333, 0.0]","[0.7866666666666666, 0.0]","[0.97, 0.0]","[0.9066666666666666, 0.0]","[0.97, 0.0]","[1.0, 0.0]","[0.7433333333333333, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.21, 0.002419434117794217]","[0.12333333333333334, 0.19603950498437195]","[0.18, 0.01440720367920878]","[1.0, 0.0]","[1.0, 0.0]","[0.6233333333333333, 0.0]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.9666666666666667, 0.0]","[0.96, 0.0]","[0.8233333333333334, 0.0]","[0.8766666666666667, 0.0]","[0.30666666666666664, 1.1006886733166965e-06]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 0.0]","[0.97, 0.0]"
2.0,0.0,95.0,0.0,1.0,1.0,0.0,0.0,"[1.0, 0.0]","[0.9933333333333333, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.99, 0.0]","[0.9966666666666667, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9933333333333333, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.99, 0.0]","[0.9966666666666667, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.74, 0.0]","[0.6133333333333333, 0.0]","[0.21333333333333335, 0.0019501655521021455]","[1.0, 0.0]","[1.0, 0.0]","[0.9033333333333333, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.99, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9966666666666667, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9966666666666667, 0.0]","[0.9566666666666667, 0.0]","[0.2966666666666667, 2.809144532989194e-06]","[1.0, 0.0]","[1.0, 0.0]","[0.4866666666666667, 0.0]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.8266666666666667, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.99, 0.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 0.0]","[1.0, 0.0]"
5.0,0.0,80.0,0.0,1.0,1.0,0.0,0.0,"[0.9533333333333334, 0.0]","[0.9866666666666667, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9466666666666667, 0.0]","[0.99, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9533333333333334, 0.0]","[0.9866666666666667, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.9466666666666667, 0.0]","[0.99, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.5933333333333334, 0.0]","[0.43, 6.252776074688882e-13]","[0.13666666666666666, 0.1159345306623808]","[0.69, 0.0]","[0.52, 0.0]","[0.67, 0.0]","[0.8866666666666667, 0.0]","[0.9833333333333333, 0.0]","[0.96, 0.0]","[0.9966666666666667, 0.0]","[1.0, 0.0]","[0.85, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.19, 0.008200246037889491]","[0.22333333333333333, 0.001000064089753283]","[0.20333333333333334, 0.0036851462908132904]","[1.0, 0.0]","[1.0, 0.0]","[0.76, 0.0]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.9966666666666667, 0.0]","[0.99, 0.0]","[0.94, 0.0]","[0.9333333333333333, 0.0]","[0.38, 4.0592085248647436e-10]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[1.0, 0.0]","[0.9966666666666667, 0.0]"
1.0,0.0,60.0,0.0,1.0,1.0,0.0,0.0,"[0.20333333333333334, 0.0036851462908132904]","[0.3433333333333333, 2.6615479709057865e-08]","[0.4066666666666667, 1.4377721235803165e-11]","[0.5666666666666667, 0.0]","[0.18666666666666668, 0.009929104992339677]","[0.33666666666666667, 5.4169626562128315e-08]","[0.3933333333333333, 7.887035469167358e-11]","[0.5333333333333333, 0.0]","[0.20333333333333334, 0.0036851462908132904]","[0.3433333333333333, 2.6615479709057865e-08]","[0.4066666666666667, 1.4377721235803165e-11]","[0.5666666666666667, 0.0]","[0.18666666666666668, 0.009929104992339677]","[0.33666666666666667, 5.4169626562128315e-08]","[0.3933333333333333, 7.887035469167358e-11]","[0.5333333333333333, 0.0]","[0.31, 7.99504093706993e-07]","[0.32, 2.9964831438356043e-07]","[0.08, 0.7089555196244848]","[0.36333333333333334, 2.880262472970685e-09]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[1.0, 0.0]","[0.46, 7.549516567451064e-15]","[0.8366666666666667, 0.0]","[0.10666666666666667, 0.34914637146039984]","[1.0, 0.0]","[1.0, 0.0]","[0.08333333333333333, 0.6603995246220852]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.7566666666666667, 0.0]","[0.9433333333333334, 0.0]","[0.7333333333333333, 0.0]","[0.8933333333333333, 0.0]","[0.39666666666666667, 5.184563889315541e-11]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.01, 1.0]","[0.01, 1.0]","[0.056666666666666664, 0.9646790348821835]","[0.9733333333333334, 0.0]"
